username,created_at,text
LilTPain,2024-08-28 08:08:19+00:00,@TheWatchB Nautilus
orkuncg,2024-08-27 21:28:11+00:00,@TheWatchB blue
keidane_,2024-08-27 19:34:21+00:00,@TheWatchB Red
TheOrac06012315,2024-08-27 18:25:05+00:00,@TheWatchB Blue
CigarsRUsCzech,2024-08-27 17:18:00+00:00,@TheWatchB Red for sure.
watchfanuk,2024-08-27 13:50:26+00:00,@TheWatchB 🔴
MikeHills,2024-08-27 12:37:02+00:00,@TheWatchB Red pill
Bazil001,2024-08-27 07:56:26+00:00,@TheWatchB Blue - it's not even close.
LWLXVI,2024-08-27 07:55:15+00:00,@TheWatchB Blue 🔵
ChadyMattar,2024-08-27 07:52:40+00:00,@TheWatchB Red
wizzy_1k,2024-08-27 05:42:22+00:00,@TheWatchB Blue pill
Gabhadhiya,2024-08-27 05:17:51+00:00,@TheWatchB Red pill please. 🙏🏽
Laoconte_,2024-08-27 04:29:35+00:00,@TheWatchB 🔵
BroganRoganTrev,2024-08-27 04:06:44+00:00,@TheWatchB Blue!
NashScorsese,2024-08-27 01:30:18+00:00,@TheWatchB Blue easyyyyy
JWorthy42LAL,2024-08-27 00:24:46+00:00,@TheWatchB 🔵
Cbobest5,2024-08-27 00:22:42+00:00,@TheWatchB Red
mr_sam_zzz,2024-08-26 23:38:57+00:00,@TheWatchB Red
menteenuso,2024-08-26 23:30:48+00:00,@TheWatchB Blue pill 💊
lowboymtl,2024-08-26 23:25:23+00:00,@TheWatchB 🔵 all day
MataeQ,2024-08-26 23:19:18+00:00,@TheWatchB Red... you can only go to dinner parties and make speeches in Patek and Vacheron. Rolex you can wear all the time...
jtrader_14,2024-08-26 23:18:58+00:00,@TheWatchB Blue pill all day
BabyBoy00231,2024-08-26 23:14:20+00:00,@TheWatchB Blue pill
DoctoRobStar,2024-08-26 22:59:38+00:00,@TheWatchB FP Journe
DaveBannedAgain,2024-08-26 22:53:00+00:00,@TheWatchB Red please. I’d love a Santos.
Bangarang_BK,2024-08-26 22:51:46+00:00,@TheWatchB Blue 🥶
Marios226925,2024-08-26 22:44:36+00:00,@TheWatchB Easy. 🔵
RyanDay99,2024-08-26 22:34:51+00:00,@TheWatchB Blue
NathanLevy10,2024-08-26 22:31:19+00:00,@TheWatchB Red
ExcellentOkoli,2024-08-26 22:16:52+00:00,@TheWatchB Blue pill
tekc0mndr,2024-08-26 22:16:01+00:00,@TheWatchB Red pill
PolkadotSwizz,2024-08-26 22:15:13+00:00,@TheWatchB Blue pill
AlinDragu,2024-08-26 22:05:59+00:00,@TheWatchB Red baby
Miki_1971_,2024-08-26 22:01:16+00:00,@TheWatchB 😤 blue pill(but hard swallow)
rodjo1,2024-08-26 21:58:14+00:00,@TheWatchB Red
SwoleW101,2024-08-26 21:54:23+00:00,"@TheWatchB Taking the red pill, grabbing 3 rainbows, and Cartier for the wife, selling the Rolexes, buying Pateks."
YB0633,2024-08-26 21:52:38+00:00,@TheWatchB 🔵🔵🔵🔵🔵💙💙💙
cj_reva2304,2024-08-26 21:44:41+00:00,@TheWatchB Blue pill for sure . Better value retention
shonaalchemist,2024-08-26 21:43:04+00:00,@TheWatchB Blue pill because @Vacheron1755
konseye_medite,2024-08-26 21:41:51+00:00,@TheWatchB Meet me at 🔵
JJ_nn_LL,2024-08-26 21:27:12+00:00,@TheWatchB Blue
3xca7ibur,2024-08-26 21:22:09+00:00,"@TheWatchB Red… Daytona, black dial. Keep the rest."
Ladexdomain,2024-08-26 21:21:52+00:00,@TheWatchB Blue
RNazette,2024-08-26 21:20:21+00:00,@TheWatchB Red pill all day.
MeatRuckFast,2024-08-26 21:20:13+00:00,"@TheWatchB Blue pill would be a nice addition to the collection. I'll take these two, where do I sign up? https://t.co/x1LjM3K01o"
memobarba,2024-08-26 21:18:28+00:00,@TheWatchB Blue
Justin__blk,2024-08-26 21:17:43+00:00,@TheWatchB 222 to be exact
Justin__blk,2024-08-26 21:17:30+00:00,@TheWatchB Vacheron till I die. 😭👍🏾
_DonAmore_,2024-08-26 21:16:18+00:00,@TheWatchB Blue pill.
PSafaflue,2024-08-26 21:14:22+00:00,@TheWatchB Red pill
KingAjar,2024-08-26 21:13:03+00:00,@TheWatchB Blue i don't like Cartiers
AlwaysGreek1,2024-08-26 21:11:47+00:00,@TheWatchB Blue
NaveedSavul,2024-08-26 21:08:16+00:00,@TheWatchB Blue pill
cantflexonrex,2024-08-26 21:08:04+00:00,@TheWatchB Only time i'd take the blue😅
metaDJZOii,2024-08-26 00:03:29+00:00,@TheWatchB 🔥🔥 https://t.co/yAgm79ZI7n
1seepapes,2024-08-24 22:31:12+00:00,@TheWatchB Will be my next cop
joackoo_ah,2024-08-24 18:30:36+00:00,"@TheWatchB Traveling to Japan offers opportunities for adventure and exploration, whether hiking in the mountains, soaking in hot springs, or exploring ancient temples and castles."
