username,created_at,text
honeypeach13964,2024-08-31 04:16:25+00:00,@NewJeans_ADOR @CHANEL 好看
stan_nofandom,2024-08-31 03:49:56+00:00,@NewJeans_ADOR @CHANEL Perfect face😍
AntonioDieho,2024-08-31 02:25:10+00:00,@NewJeans_ADOR @CHANEL Minji te amooooo
TSYNWJ3,2024-08-30 17:57:51+00:00,@NewJeans_ADOR @CHANEL the denim short is so chic it suits her💙
saltestocean,2024-08-30 13:12:47+00:00,@gelatlo @NewJeans_ADOR @CHANEL ☹️☹️☹️☹️☹️☹️
auwiuwiuwle,2024-08-30 08:56:12+00:00,@NewJeans_ADOR @CHANEL dia cantik banget demi
ebystud,2024-08-30 06:28:19+00:00,@NewJeans_ADOR @CHANEL 💙
AyushChatu2001,2024-08-29 21:34:40+00:00,@NewJeans_ADOR @CHANEL 彼女は匂いを嗅いでいる。花
quoifz,2024-08-29 17:45:42+00:00,@NewJeans_ADOR @CHANEL Beautiful 💖💖💖
snabilans,2024-08-29 16:41:33+00:00,@NewJeans_ADOR @CHANEL MBA CANTIK SEKALIII😭🧚‍♀️🩷
gib_tater,2024-08-29 13:59:15+00:00,@NewJeans_ADOR @CHANEL Éxitos bebé 💖
gib_tater,2024-08-29 13:54:02+00:00,@NewJeans_ADOR @CHANEL Hermosota 💝
FlannaganD67069,2024-08-29 11:06:52+00:00,@NewJeans_ADOR @CHANEL How is everything?
DA_MAE_WACK,2024-08-29 10:42:51+00:00,@NewJeans_ADOR @CHANEL カワイイし日本語どんどん上手になってて귀여워！
fEbnJu5vDqL76Di,2024-08-29 10:13:39+00:00,@NewJeans_ADOR @CHANEL https://t.co/IppLz65hSx
idekbro12251238,2024-08-29 07:32:03+00:00,@NewJeans_ADOR @CHANEL pls d iiiiiie
idekbro12251238,2024-08-29 07:31:57+00:00,@NewJeans_ADOR @CHANEL bitch
idekbro12251238,2024-08-29 07:31:55+00:00,@NewJeans_ADOR @CHANEL pedo ass licker
jiwonoon,2024-08-29 07:28:11+00:00,@NewJeans_ADOR @CHANEL TE AMO
luiza_galli,2024-08-29 04:47:14+00:00,@NewJeans_ADOR @CHANEL Minji is so pretty
11hanjk,2024-08-29 04:08:43+00:00,@NewJeans_ADOR @CHANEL يازينك تهبلين🥹🤍 https://t.co/kMAqhMtDQL
taucrush7,2024-08-29 03:59:00+00:00,@NewJeans_ADOR @CHANEL https://t.co/jd1VdWI9Ot
Kathy507515,2024-08-29 03:39:36+00:00,@NewJeans_ADOR @CHANEL STUNNING VISUAL🫢
ARcrazyworld1,2024-08-29 02:53:40+00:00,@hezy0_0 @NewJeans_ADOR @CHANEL Gae 😭🤌🏻
DDiup_,2024-08-29 02:16:51+00:00,@NewJeans_ADOR @CHANEL 민지가 나랑 데이트하고 싶다고 했어요.
jinii0808,2024-08-29 02:07:09+00:00,@NewJeans_ADOR @CHANEL So good~~💕💕
AlanRobins98069,2024-08-29 01:58:35+00:00,@NewJeans_ADOR @CHANEL If you''re interested and if you''re still|
JagadSuper10,2024-08-29 01:56:13+00:00,@NewJeans_ADOR @CHANEL minji's so pretty 😍
dwi_astini59331,2024-08-29 01:40:25+00:00,@NewJeans_ADOR @CHANEL hellooo
Phaiwan7,2024-08-29 01:36:32+00:00,@NewJeans_ADOR @CHANEL 🤍💐🩵
fraser_mig18763,2024-08-29 01:28:17+00:00,@NewJeans_ADOR @CHANEL Nice to meet you again!
