username,created_at,text
mag68855,2024-08-26 00:11:14+00:00,@Dior فيل
jladycurrie,2024-08-25 23:40:53+00:00,@Dior Looks amazing
JDRises,2024-08-25 21:29:28+00:00,"@TriniOceanSpeed @Dior #ThankYouDior 
#JohnnyDeppIsLoved"
JDRises,2024-08-25 21:26:17+00:00,"@kevin_la44 @Dior #ThankYouDior 
#JohnnyDeppIsLoved"
CirceContact,2024-08-25 20:09:14+00:00,@Dior Smell like an eagle
kevin_la44,2024-08-25 18:26:48+00:00,"@Dior #ThankYouDior for standing by Johnny Depp! 
Nr1 collab in the fragrance world. https://t.co/Be7PHEXScV"
TCOBeautyIsArt,2024-08-25 17:52:28+00:00,@Dior Dior is the home of the wife beating rapist. Shame on you all. https://t.co/89vGzqkZIi
TCOBeautyIsArt,2024-08-25 17:51:40+00:00,@Dior Nasty wife beater brand. #DiorSupportsAbuse https://t.co/Y3jtECSufM
TCOBeautyIsArt,2024-08-25 17:51:26+00:00,@Dior STOP SUPPORTING A RAPIST. IT'S REALLY THAT SIMPLE. #DiorSupportsAbuse https://t.co/mXxuHF4xK6
TriniOceanSpeed,2024-08-25 16:05:19+00:00,"@Dior #JohnnyDepp 
#ThankYouDior https://t.co/CTkuYMxtSY"
ResinMaster1,2024-08-25 15:35:24+00:00,"@Dior Hi @Dior my wife has been wanting the saddle bag for far too long but I can't afford her one 😞.  Come from a paycheck to paycheck family. Her birthday is coming up in September 11 would you be able to gift her secretly,  I can share details to show proof of her birthday ❤️"
JaySwan390541,2024-08-25 15:31:19+00:00,@Dior Hey! Use my referral link https://t.co/Fh0209MGeI to sign up to Fanvue! https://t.co/Fh0209MGeI
akurindujeki,2024-08-25 14:42:41+00:00,@Dior https://t.co/ZyS0idKvKf
FortonSusan,2024-08-25 13:50:21+00:00,"@JD_Land44 @Dior #ThankYouDior
#JohnnyDepp
#JohnnyDeppIsLoved 
#DiorSuavageEauForte 
#JohnnyDeppIsABeautifulSoul 
#JohnnyDeppKeepsWinning 
✨️💗✨️💗✨️💗✨️💗✨️"
WaldrupMichelle,2024-08-25 11:13:47+00:00,@Dior @ReemDepp https://t.co/9bhqqrhZ5g
melishidayati,2024-08-25 10:53:35+00:00,"@Dior Aku tidak terlalu menyukai aroma lavender,tapi jika parfum bebas alkohol pasti sangat lembut aroma nya dan lebih tahan lama...
Aku menggunakan wewangian bebas alkohol 🙂"
EmiliaMarc10,2024-08-25 07:43:12+00:00,@Dior Gross and F you for featuring #JohnnyDeppIsARapist in your embarrassing campaigns. Also your products suck and are made to the same standards as regular drugstore lines so why waste the money?
StepOnThemQuee1,2024-08-25 07:35:08+00:00,@Dior Your racist ad campaign is going to haunt you forever https://t.co/sT5HwPcwLB
Kara6963,2024-08-25 03:15:24+00:00,@mcbaudy @Dior They are both available!!
JDRises,2024-08-25 01:09:27+00:00,"@Dior 💖Johnny Depp and Dior💖
#IStandWithJohnnyDepp
#ThankYouDior
#JohnnyDeppIsLoved
 #JohnnyDeppIsAMagicMan #JohnnyDeppIsABeautifulSoul 
#JohnnyDeppSexiestManAlive 
#IStandWithJohnnyDepp"
golrang765,2024-08-24 21:07:03+00:00,@Dior #JohnnyDeppIsALegend  #thankyoudior
golrang765,2024-08-24 21:06:09+00:00,@Dior Perfect
disc61,2024-08-24 21:05:25+00:00,@Dior #ThankYouDior
AgainDAlina,2024-08-24 19:44:30+00:00,@Dior #ThankYouDior https://t.co/gQLgkiYK9g
AgainDAlina,2024-08-24 19:43:05+00:00,@Dior #ThankYouDior
FortonSusan,2024-08-24 19:22:19+00:00,"@Dior #JohnnyDepp
#DiorBeauty.   #Dior
#ThankYouDior 
#DiorSuavageEauForte 
#JohnnyDeppSexiestManAlive
#JohnnyDeppIsLoved 
💗⭐️💗⭐️💗⭐️💗⭐️💗⭐️💗"
JD_Land44,2024-08-24 19:08:26+00:00,"@Dior #ThankYouDior 😉😍
https://t.co/O99aBlfwE7"
Prussian1978,2024-08-24 19:02:27+00:00,@Dior THANK YOU @Dior ❤️‍🔥🙂 https://t.co/mZrhTNPSKx
NormaiSantos,2024-08-24 18:45:08+00:00,"@Dior Johnny Depp 
#ThankYouDior https://t.co/v0EmrvqduJ"
SchmoJosey,2024-08-24 18:40:29+00:00,"@Dior This is great for people who want a more subtle or skin sensitive version of the most popular and loved fragrance in the world. 👍
#ThankYouDior"
ReemDepp,2024-08-24 17:41:50+00:00,@Dior 🔥🔥🔥
vernumquamperit,2024-08-24 17:08:36+00:00,@Dior Thank you Dior 😍
AneluciaVargas,2024-08-24 17:08:35+00:00,"@Dior ❤🔥 #JohnnyDepp + #DiorSauvage  Wild, Fearless and Human 🖤🔥🖤🔥 #ThankYouDior 🤩👏👏👏"
Zee28___,2024-08-24 17:06:59+00:00,@Dior #ThankYouDior ❤
MonniZ333,2024-08-24 17:06:05+00:00,"@Dior ❤️❤️❤️
#ThankYouDior #IStandWithJohnnyDepp #JohnnyDeppIsASurvivor #JohnnyDeppWon #JohnnyDeppIsALegend #JohnnyDeppIsABeautifulSoul #JohnnyDeppKeepsWinning #JohnnyDeppIsLoved"
Vanialeite100,2024-08-24 17:03:08+00:00,@Dior Obrigado por vcs sempre está com nosso lindo amado JOHNNY ❤
IndiaNichole19,2024-08-24 17:00:39+00:00,@Dior ❤️ https://t.co/S7GnHVUooO
marievaojeda,2024-08-24 16:25:58+00:00,@Dior ♥️♥️♥️
NormaiSantos,2024-08-24 16:22:51+00:00,"@Dior #ThankYouDior
#JohnnyDeppIsALegend 
#JohnnyDeppKeepsWinning https://t.co/FdhyJWbjDA"
mcbaudy,2024-08-24 16:15:00+00:00,"@Dior I hope it's a limited edition that will only last a year, and we get back to the strong, long-lasting Dior Sauvage signature."
Ceus974,2024-08-24 16:12:20+00:00,@Dior ❤️
manalAL85822415,2024-08-24 16:06:43+00:00,@Dior احبه 💙🖤🫶
LynnInNC412,2024-08-24 16:05:27+00:00,@Dior ❤️
JijiroliMo,2024-08-31 02:37:59+00:00,@Dior @BLACKPINKGLOBAL My Queen Jisoo is so Elegant ✨️ https://t.co/2rWzEYfWVJ
wty_2020,2024-08-28 14:44:07+00:00,"@Dior JISOO THE HUMAN DIOR
#JISOOxDior
#JISOOxDiorBeauty"
miller_man6843,2024-08-28 13:46:21+00:00,@Dior May God bring the feeding bowl to you
AlvinEvans7758,2024-08-28 04:03:16+00:00,"@Dior A family of deer grazes peacefully in a sunlit meadow, their graceful movements a testament to the harmony of life in the natural world."
EttaMccart4584,2024-08-28 01:35:53+00:00,"@Dior The sound of rustling leaves overhead is a reminder of the constant dance of life in the treetops, as birds and squirrels go about their daily activities."
1tosay,2024-08-28 00:47:27+00:00,@Dior ……Just saying….🌟👁️🌟🫵🏽JISOO IS ✨PRETTIER✨…..just saying….🥹
MiaCartierr,2024-08-27 22:35:20+00:00,@Dior Radiantes 🔥
AndyAavilez,2024-08-27 17:56:16+00:00,@Dior Queens and Mothers wbk
Yassarrao,2024-08-27 14:52:04+00:00,@Dior #DiorBeauty
ZAtcheson2857,2024-08-27 10:19:00+00:00,@Dior Where do you want to be when you
LeraLesesn14691,2024-08-27 08:33:30+00:00,@Dior Anya Taylor-Joy and Jisoo steal the😗
kiki447_1,2024-08-27 07:02:39+00:00,@Dior Jisoo😍😍😍
HrehaKatri48334,2024-08-27 06:58:55+00:00,@Dior Anya Taylor-Joy and Jisoo steal the spotlight with the new🤡😝😊
BindingJ29352,2024-08-27 06:44:59+00:00,@Dior 好美啊
akurindujeki,2024-08-27 06:30:43+00:00,@Dior bidadari
DanielHaptic,2024-08-27 06:03:59+00:00,@Dior Song of the Year https://t.co/XwKJP4Zlz1 via @YouTube
BERITAHANG31788,2024-08-27 05:27:16+00:00,@Dior https://t.co/2JYZkmrg6M
balawalqayoom,2024-08-27 04:57:08+00:00,@Dior Door my favourite cosmetics brand
Riya1431504,2024-08-27 04:36:47+00:00,@Dior Good
MiahLopez024,2024-08-27 02:56:46+00:00,@Dior 🌹 https://t.co/Ck3XEF3UBq
ArchiMansions,2024-08-27 02:38:22+00:00,"@Dior Don't use young female ' Youth '
to hint toward
potential of immorality sodom and gomorahhh of immoral Lifestyle potential hintings 
any type of

keep it HOLY
HOLY
HOLY
OF ONE Creator ONE GOD ONLY HONORED UPRIGHT OF ONE HOLY HOLY HOLY FATHER GOD &amp; SON OF GOD &amp; SPIRIT OF THE LORD."
CollinsMar39293,2024-08-27 02:13:12+00:00,@Dior Nice
updatekimjisoo,2024-08-27 01:48:49+00:00,@Dior Jisoo beauty queen!! 🤍✨
Khadijahsez,2024-08-27 00:57:12+00:00,@Dior Ok
PeggyAnder39743,2024-08-27 00:47:45+00:00,@Dior beautiful~~
