username,created_at,text
YIZHUO_ID,2024-08-31 09:29:35+00:00,"@Versace WE LOVE YOU VERSACE 

#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
GREGORYTAIL,2024-08-31 05:14:55+00:00,@Versace Very nice! 😍
yizhuoningning_,2024-08-31 02:53:44+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
Voyer74421122,2024-08-31 01:18:09+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
forKLAV,2024-08-31 00:04:44+00:00,@Versace 🥰🥰
_elleonore,2024-08-30 22:27:19+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
crystalcastle25,2024-08-30 20:17:15+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
lxn143375,2024-08-30 19:51:30+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
armageddon423,2024-08-30 17:20:59+00:00,"@Versace NINGNING for #VersaceKleio

#NINGNING
#aespa
#VersaceFW24
#Versace"
NING_NING_BB,2024-08-30 17:10:21+00:00,@DmmaKpop @Versace yes
922bright,2024-08-30 17:08:13+00:00,@Versace ✰𝑽𝑬𝑹𝑺𝑨𝑪𝑬 𝑷𝑹𝑰𝑵𝑪𝑬𝑺𝑺✰宁艺卓时尚领域新进程➽解锁红血顶奢范思哲☑空降最高title全球品牌代言人☆成为中国最年轻的顶奢全球代言人🪶主理人亲自认证范思哲公主♚从一件全球首穿的超季高定讲起✐宁艺卓与范思哲的故事还在继续➠
hataerspa,2024-08-30 16:54:46+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
watasiwadhe29,2024-08-30 16:29:48+00:00,@Versace Adekkkkk woooo 🤩🤩🤩
KimYooAeNing,2024-08-30 16:15:57+00:00,"@Versace Ningning slayed

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
mydivespa,2024-08-30 15:58:41+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
jiay8888,2024-08-30 15:47:38+00:00,"@Versace versace princess

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
ALingorm71635,2024-08-30 15:45:53+00:00,"@Versace versace princess😍🥰

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
zoe_imnot,2024-08-30 15:44:42+00:00,@Versace 😻
zoe_imnot,2024-08-30 15:44:35+00:00,@Versace Pretty
zoe_imnot,2024-08-30 15:44:32+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
Lovie_Ning,2024-08-30 15:42:05+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
H12201660197113,2024-08-30 15:37:29+00:00,@Versace Our pretty ningning
myN1023,2024-08-30 15:37:08+00:00,@Versace 😻
the0verthingker,2024-08-30 15:36:14+00:00,@Versace Got mine 😍💋
aespaNingningPH,2024-08-30 15:35:09+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
kiwiaess,2024-08-30 15:32:29+00:00,@Versace watch the aespa official acc ignore this again like a simple repost for Ningning’s first global campaign wouldn’t hurt
akipogvarkala2,2024-08-30 15:21:48+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
nnjennieilu,2024-08-30 15:20:33+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
jacky4452737239,2024-08-30 15:15:55+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
Yam201298,2024-08-30 15:14:20+00:00,@Versace Ningning 💙💙
LuxeRitzi,2024-08-30 15:09:08+00:00,@Versace ❤️❤️❤️
MYaenergyisae,2024-08-30 15:07:05+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
toroimoore,2024-08-30 15:06:20+00:00,@Versace @Versace 💛💛💛💛💛
DmmaKpop,2024-08-30 15:05:46+00:00,@Versace Knowing of this because of NingNing
luv73190,2024-08-30 15:05:38+00:00,@Versace Ningning
mowchie138,2024-08-30 15:02:16+00:00,@Versace 🔥🔥🔥
leileihaolei,2024-08-27 11:14:32+00:00,@Versace https://t.co/uoK5Dz1ucv
hudiefairee,2024-08-31 10:26:06+00:00,"@Versace NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
98CL0UD,2024-08-31 10:18:12+00:00,@Versace ningning!!!
nvllksyhs,2024-08-31 10:14:35+00:00,"@Versace SLAYING AS ALWAYS VERSACE PRINCESS💅

#NINGNINGxVersaceKleio 
#VersaceFW24 @Versace #NINGNING"
iseeyougo_,2024-08-31 10:13:32+00:00,@Versace ningning and versace is just heaven made! please just stick together forever
roseyy49,2024-08-31 10:13:22+00:00,"@Versace Show them how it’s done Ningning!!! 🥵🥵😍

#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING @Versace"
that_crowe,2024-08-31 10:11:14+00:00,"@Versace GIRL YOU SLAYYY

NINGNING FOR VERSACE KLEIO
#NINGNINGxVersaceKleio
#VersaceFW24 #NINGNING 
@Versace"
nebu_losa_,2024-08-31 10:08:17+00:00,@Versace minhaa
jiangwan12126,2024-08-31 10:08:00+00:00,@Versace Versace princess
jiangwan12126,2024-08-31 10:07:55+00:00,@Versace NINGNING
