username,created_at,text
Nieka1123,2024-08-28 14:11:38+00:00,@Prada @B206_P Karina
sarister12,2024-08-28 10:52:49+00:00,@Prada Prada siblings ☺️🫶
FeriPradanaa,2024-08-26 14:32:02+00:00,@Prada cek berita lee min ho mendadak tranding https://t.co/CmItJ6Nbuv
iiamYYO,2024-08-24 18:41:18+00:00,@Prada jaehyun💚
taydoro13,2024-08-31 09:12:26+00:00,@Prada @aespa_official Congratulations
huhu1694623,2024-08-30 17:34:40+00:00,@Prada @aespa_official 恭喜
FanyuTseng,2024-08-30 16:20:15+00:00,@Prada @aespa_official KARINA 💙💙💙
Ryuga1_7,2024-08-30 13:53:47+00:00,@Prada @aespa_official karina！
YU_alwayshine,2024-08-30 13:07:00+00:00,@Prada @aespa_official Slay
katatony12,2024-08-30 10:43:45+00:00,@Prada @aespa_official 👍👍👍👍😍😍😍
RileyFangYuchen,2024-08-30 08:20:47+00:00,@Prada @aespa_official We are looking forward to seeing Karina and Prada
RileyFangYuchen,2024-08-30 08:18:56+00:00,@Prada @aespa_official Karina is so pretty
Yojimminor11,2024-08-30 02:31:06+00:00,@Prada @aespa_official thank you for choosing Karina as your ambassador
poemrina0411,2024-08-29 22:32:49+00:00,@Prada @aespa_official karina🔥🔥🔥
ae_phrodite,2024-08-29 19:42:03+00:00,@Prada @aespa_official Congratulations love 😘❤️
widiyawati307,2024-08-29 17:36:15+00:00,@Prada @aespa_official So proud of her! She's perfect for Prada! 😊
MaciasDan,2024-08-29 17:35:13+00:00,@Prada @aespa_official Great choice Prada!
Mango_peopel,2024-08-29 17:33:42+00:00,"@Prada @aespa_official Waooo
1,6M views and 44k likes in just a day..... prada you did a big one getting her on board!"
TamalaHein47844,2024-08-29 16:59:01+00:00,"@Prada @aespa_official @aespa_official KARINA, ambassador.
 
@aespa_official singer ambassador.
 KARINA,"
7iuuox,2024-08-29 16:13:33+00:00,@Prada @aespa_official 五女一就是这么争气
_fox_Hunter,2024-08-29 15:55:53+00:00,@Prada SANAは？
ukurjo,2024-08-29 15:29:20+00:00,@Prada @aespa_official So happy for her! She's perfect for Prada! 😊
winter_MY1,2024-08-29 14:25:33+00:00,@Prada @aespa_official 柳智敏牛逼
aominct,2024-08-29 13:49:19+00:00,"@Prada @aespa_official it’s been long incoming ♥️

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
sungchanseoul,2024-08-29 13:31:12+00:00,@Prada @aespa_official congratulations karina!! 💙💙
rinaa321345788,2024-08-29 13:07:11+00:00,@Prada @aespa_official Karina is great.🫰🫰🫰
kep1ian05,2024-08-29 12:50:08+00:00,@Prada @aespa_official カリナ様お美しい😍
loveyurinabluu,2024-08-29 12:32:50+00:00,@Prada @aespa_official QUEENIE
jngwc,2024-08-29 12:09:00+00:00,@Prada @aespa_official QUEEN
lyliww,2024-08-29 12:07:21+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
LawrenceBa59586,2024-08-29 11:50:49+00:00,@Prada @aespa_official Where do you want to be when you
NowIsOverNow,2024-08-29 11:25:38+00:00,"@Prada @aespa_official Karina for Prada 

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
BebyQeyra,2024-08-29 10:58:18+00:00,@Prada @aespa_official karina I love you
ABlare74936,2024-08-29 10:47:06+00:00,@Prada @aespa_official Udah gak nahan pengen crot bareng cowo sosmed enakkk khilaf 💦
minsunghyuck,2024-08-29 10:24:08+00:00,@Prada @aespa_official Jd putri prada nih neng karina
summersoda___,2024-08-29 10:23:11+00:00,@Prada @aespa_official I hope Karina gets better and better！！！
HTrnUynQua5410,2024-08-29 10:14:47+00:00,"@Prada @aespa_official Travel is a form of celebration, allowing individuals to mark milestones and create lasting memories."
EN1009_K0411,2024-08-29 09:50:28+00:00,"@Prada @aespa_official Looking forward to Karina x Prada!!

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
HuongOi4404,2024-08-29 09:49:24+00:00,@Prada @aespa_official Karst landscapes feature unique landforms and provide habitats for specialized species.
tellmetz,2024-08-29 09:31:40+00:00,@Prada @aespa_official finally 🥳🥳🥳🫂🤍
bluu1171941951,2024-08-29 09:27:51+00:00,@Prada @aespa_official 期待
bluu1171941951,2024-08-29 09:27:30+00:00,@Prada @aespa_official ☺️☺️☺️
bluu1171941951,2024-08-29 09:27:21+00:00,@Prada @aespa_official 🫶🫶🫶👏
bluu1171941951,2024-08-29 09:27:16+00:00,@Prada @aespa_official 🫶🫶🫶
bluu1171941951,2024-08-29 09:27:06+00:00,@Prada @aespa_official karina🫶
bluu1171941951,2024-08-29 09:26:53+00:00,@Prada @aespa_official 🥹🥹
bluu1171941951,2024-08-29 09:26:41+00:00,@Prada @aespa_official looking forward to cooperation
bluu1171941951,2024-08-29 09:26:33+00:00,@Prada @aespa_official Happy cooperation
bluu1171941951,2024-08-29 09:26:08+00:00,@Prada @aespa_official 🥰👏
bluu1171941951,2024-08-29 09:26:00+00:00,@Prada @aespa_official 🫶👏
bluu1171941951,2024-08-29 09:25:55+00:00,@Prada @aespa_official 🥰🥰
bluu1171941951,2024-08-29 09:25:50+00:00,@Prada @aespa_official 🫶🫶
bluu1171941951,2024-08-29 09:25:45+00:00,@Prada @aespa_official 👏👏👏
bluu1171941951,2024-08-29 09:25:40+00:00,@Prada @aespa_official 👏👏
bluu1171941951,2024-08-29 09:25:27+00:00,@Prada @aespa_official congratulation
bichmayman,2024-08-29 09:09:02+00:00,"@Prada @aespa_official Mong nọi việc thuận lợi 
KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
annapwarklee,2024-08-29 09:07:03+00:00,"@Prada @aespa_official 💙🖤

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
jaeheejisung,2024-08-29 09:06:49+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
nvingsc,2024-08-29 08:59:10+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
NAsti_XXX,2024-08-29 08:42:54+00:00,@Prada @aespa_official So excited for her! She looks amazing! 😊
rinacex,2024-08-29 08:36:32+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
MotoCrisss,2024-08-29 08:36:02+00:00,@Prada @aespa_official Karina 🖤
mrduckie0311113,2024-08-29 08:30:06+00:00,"@Prada @aespa_official Karina, you're so amazing
KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA #prada #pradarina  @PRADA"
bichmayman,2024-08-29 08:26:47+00:00,"@Prada @aespa_official Hy vọng sớm có campaign 
KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
jjseabeach,2024-08-29 07:57:22+00:00,"@Prada @aespa_official 💖💖

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
jjseabeach,2024-08-29 07:57:03+00:00,@Prada @aespa_official 🤍🤍 my princessssss
mysworld0006,2024-08-29 07:40:08+00:00,@Prada @aespa_official Ahhh my karinaaaa 🥹🥹
NowIsOverNow,2024-08-29 07:37:33+00:00,"@Prada Looking forward to Karina with Prada~

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
ukurjo,2024-08-29 07:26:23+00:00,@Prada @aespa_official So excited for this! Karina is amazing! 😊
YuKarinaai,2024-08-29 07:16:31+00:00,"@Prada @aespa_official QUEEN 💙

KARINA PRADA GLOBAL AMBASSADOR
#KARINAxPRADA #KARINA @PRADA"
wintyfan,2024-08-29 06:37:22+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
yeppiyeppiae,2024-08-29 06:30:20+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
__lIVIlIVlll__,2024-08-29 06:25:07+00:00,"@Prada @aespa_official Have some standards Prada, don’t just look at bribes. This is Aespa Karina before the plastic surgery. https://t.co/Wy2sGOQOqA https://t.co/Ci2akBbFgx"
qran91954,2024-08-29 06:10:16+00:00,@Prada @aespa_official god！！！
BelieveInYu0,2024-08-29 06:02:12+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
KARINA PRADA GLOBAL AMBASSADOR 
KARINA PRADA GLOBAL AMBASSADOR 
KARINA PRADA GLOBAL AMBASSADOR 
KARINA PRADA GLOBAL AMBASSADOR
KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
yujisus,2024-08-29 06:00:40+00:00,@Prada @aespa_official 💙💙💙
textroveert,2024-08-29 05:54:50+00:00,"@Prada @aespa_official congratulations, my love 🖤 #유지민은봐라"
imnotbloomy,2024-08-29 04:28:39+00:00,"@Prada @aespa_official Congrats!! 💙💙💙

KARINA PRADA GLOBAL AMBASSADOR  
#KARINAxPRADA #KARINA @Prada"
vensells100,2024-08-29 04:06:03+00:00,@Prada @aespa_official She is not that special looking
runtoyouuu_,2024-08-29 03:57:36+00:00,@Prada @aespa_official Selamat neng
mxia99026,2024-08-29 03:22:33+00:00,@Prada @aespa_official 全球代言人就是美
sosoconsiderate,2024-08-29 03:20:41+00:00,@Prada @aespa_official EXCELLENT ELEGANT AMBASSADOR 🔥🔥
stay4everrrr_,2024-08-29 03:19:52+00:00,@Prada @aespa_official queen behavior
madebythrva,2024-08-29 03:19:14+00:00,@Prada @aespa_official Sayangg
BebyQeyra,2024-08-29 03:16:32+00:00,@Prada @aespa_official cewek qw
loveyurinabluu,2024-08-29 03:11:08+00:00,@Prada @aespa_official pradarina lets go!!! https://t.co/v416OGQlCw
arch_diamond,2024-08-29 03:10:50+00:00,@Prada @aespa_official 💎 Respect
fallforbluu,2024-08-29 03:07:28+00:00,@Prada @aespa_official IT GIRL KARINA
you_zimin2,2024-08-29 03:06:35+00:00,"@Prada @aespa_official 🥰🥰💙💙💙

KARINA PRADA GLOBAL AMBASSADOR  
#KARINAxPRADA #KARINA @Prada"
malditangrenren,2024-08-29 03:01:03+00:00,@Prada @aespa_official dumb fans saying global when its posted only as brand amba for korea. delusional
loveyurinabluu,2024-08-29 02:59:51+00:00,@Prada @aespa_official Prada x Karina !! so excited!!
xinyiyang364975,2024-08-29 02:53:45+00:00,@Prada @aespa_official 绝世佳人
AEllis9331,2024-08-29 02:47:48+00:00,@Prada @aespa_official Hello!
Mitrabhanu20603,2024-08-29 02:43:27+00:00,@Prada @aespa_official Hy
anafiffa,2024-08-29 02:42:26+00:00,@Prada @aespa_official motherina serving for us
jinjing30850626,2024-08-29 02:39:49+00:00,"@Prada @aespa_official Prada global ambassador Karina omfg!
Perfect match! Prada queen Karina💙💙💙💙💙💙💙💙#KARINAxPRADA"
lki_min,2024-08-29 02:38:18+00:00,"@Prada @aespa_official Looking forward to the future works together with Karina ❤️

KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @PRADA"
karinabulu,2024-08-29 02:37:49+00:00,@Prada @aespa_official 支持Karina https://t.co/1am0WBqOIg
karinabulu,2024-08-29 02:37:26+00:00,@Prada @aespa_official Karina
baeklii3,2024-08-29 02:36:00+00:00,@Prada @aespa_official #KARINAxPRADA 😍😍😍
hckism,2024-08-29 02:30:37+00:00,@Prada @aespa_official MY GIRL KARINAAAA
junedett,2024-08-29 02:23:17+00:00,@Prada @aespa_official Karina suits well
karinayjm_,2024-08-29 02:22:26+00:00,"@Prada @aespa_official KARINA PRADA GLOBAL AMBASSADOR 
#KARINAxPRADA #KARINA @Prada"
BebyQeyra,2024-08-29 02:21:20+00:00,@Prada @aespa_official anjay cewek qw
JimAdisa,2024-08-30 23:54:54+00:00,@Prada Trip https://t.co/EAl34k8KPJ
JimAdisa,2024-08-30 23:49:14+00:00,@Prada Trip https://t.co/EAl34k8d0b
good_juliana,2024-08-30 17:31:39+00:00,@Prada 😵
JessieWRyder,2024-08-30 17:27:25+00:00,@Prada Winona is so fucking gorgeous
JessieWRyder,2024-08-30 17:27:10+00:00,@Prada Winona slay this outfit as always
JalalRahmani3,2024-08-28 14:58:10+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/gk2AqJCxcZ"
JalalRahmani3,2024-08-28 14:58:01+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/BjkC2tD56S"
JalalRahmani3,2024-08-28 14:57:49+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/gMZYD43aRy"
JalalRahmani3,2024-08-28 14:57:38+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/BmuwOQdNSE"
JalalRahmani3,2024-08-28 14:57:30+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/ddM6SEIyr2"
JalalRahmani3,2024-08-28 14:57:15+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/8wUY9obKKf"
JalalRahmani3,2024-08-28 14:57:05+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/KB950Vcm9e"
JalalRahmani3,2024-08-28 14:56:57+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/gCannGdA5U"
italianking1995,2024-08-24 22:38:38+00:00,@Prada https://t.co/v7PCwVjj7B
junyaSUN6,2024-08-24 18:02:17+00:00,@Prada ✨️
Mira28209725,2024-08-28 11:37:00+00:00,@Prada Xvf
Leenjboy,2024-08-29 20:09:44+00:00,@Prada @DamsonIdris Awsome
JimAdisa,2024-08-30 23:54:54+00:00,@Prada Trip https://t.co/EAl34k8KPJ
JimAdisa,2024-08-30 23:49:14+00:00,@Prada Trip https://t.co/EAl34k8d0b
good_juliana,2024-08-30 17:31:39+00:00,@Prada 😵
JessieWRyder,2024-08-30 17:27:25+00:00,@Prada Winona is so fucking gorgeous
JessieWRyder,2024-08-30 17:27:10+00:00,@Prada Winona slay this outfit as always
JalalRahmani3,2024-08-28 14:56:44+00:00,"@Prada @Prada ,

J’ai acheté une paire de solaire parada et la qualité est merdique!

Je viens en magasin en me dit c’est l’usure alors que la paire date d’un mois!

Je vais vous afficher sur les réseaux sociaux !
#badquality https://t.co/haaGCnuE6s"
we_a_smile10,2024-08-28 03:41:18+00:00,@Prada CIAO 👋🅰️Ⓜ️😊⬆️
sasa_star4,2024-08-25 14:00:44+00:00,"@Prada Hello
Buy this NFT
You will surely profit many times because your name will appear on it.
Consider this NFT from the angels, then you will never lose.

https://t.co/0GbTiJpdvx"
davetapan,2024-08-25 12:54:57+00:00,@Prada 😍
Junxrrcarter,2024-08-25 08:16:58+00:00,@Prada @KeironWayne these are you cuz
