username,created_at,text
Riannonyu_pu_,2024-08-30 08:40:40+00:00,"@Outfit_Luxy Oh, a Cartier ring!  That's a beauty!  It's timeless, just like love.  One line: Gorgeous love, in a ring, forever binds.  Only 129 characters, just for you.  No fines here, just admiration."
IAMGOLDEN_21,2024-08-29 16:01:45+00:00,@Outfit_Luxy MINE 😍
beys777,2024-08-29 13:40:03+00:00,@assreina @Outfit_Luxy Kkdmdkdkkdkdkddkdk
assreina,2024-08-29 13:04:13+00:00,@Outfit_Luxy askim bu
alenziii_111,2024-08-29 05:27:29+00:00,@Outfit_Luxy يموت 🖤🔥
NavinrajM178889,2024-08-29 05:26:29+00:00,@Outfit_Luxy Amazing 🔥
daminiol,2024-08-29 04:19:40+00:00,@Outfit_Luxy 🤍
bnar71,2024-08-28 22:53:56+00:00,@Outfit_Luxy اويل ويلي
Road28703682,2024-08-29 19:45:43+00:00,@PRADAXBBY https://t.co/dJt0D8uejT
emilybarriosss_,2024-08-30 20:46:38+00:00,@naye1is @PRADAXBBY Alguien que me regale eso
lulieluciano,2024-08-27 12:50:17+00:00,@elguilibel @PRADAXBBY así
luckybabe1991,2024-08-26 11:35:32+00:00,@PRADAXBBY 😍❤️
mariaalss1,2024-08-26 08:13:33+00:00,@PRADAXBBY 🤯🥹
AtonikGaming,2024-08-26 02:56:12+00:00,@PRADAXBBY @chaeli__ My wife needs this
Ict_Joujou27443,2024-08-25 23:39:45+00:00,@PRADAXBBY Love it
spiderman21909,2024-08-25 23:25:14+00:00,@PRADAXBBY Can you watch my new YouTube short when it comes out on Sunday September 1 at 10:00am on Fraolzt6wv
Faberkat,2024-08-25 21:28:04+00:00,@PRADAXBBY That’s sweet! ❤️
ivyp2u,2024-08-25 21:00:36+00:00,@PRADAXBBY awwnnn omggg
nukthe1kr,2024-08-25 20:19:56+00:00,@PRADAXBBY This cute
valumh_,2024-08-25 18:41:19+00:00,@PRADAXBBY lindo lindo
szymakat,2024-08-25 18:22:42+00:00,@PRADAXBBY j’espère qu’elle n’est pas en plastique (la Barbie)
troop_ul,2024-08-25 18:20:10+00:00,@PRADAXBBY Mane 😍
TinyTotsHaven0,2024-08-25 16:51:45+00:00,@PRADAXBBY https://t.co/depNUTqGMd
rafaela1_q,2024-08-25 16:16:20+00:00,@Little_Tubaroa @PRADAXBBY eu amei 🥹
shakiracynne,2024-08-25 16:09:42+00:00,@laydabratt__ @PRADAXBBY yes so beautiful 🥺🥺
aahmorena01,2024-08-25 15:59:59+00:00,@PRADAXBBY 😍
KateSettle12,2024-08-25 15:28:49+00:00,"@PRADAXBBY Hey m, wow that's beautiful! 😍"
swavyybby,2024-08-25 15:27:58+00:00,@PRADAXBBY “For my queen”👑
iahorgxaway,2024-08-25 15:25:26+00:00,@PRADAXBBY Thank you #iamCharity #LoveWins🏳️‍🌈©
elferjaniseel29,2024-08-25 14:13:55+00:00,@PRADAXBBY 😍😍
yourownertaviaa,2024-08-25 12:27:15+00:00,@PRADAXBBY Ateee 🔥
ItziarGallego,2024-08-25 12:12:46+00:00,@PRADAXBBY @maliikaah_ !!!!
mptn3,2024-08-25 12:09:06+00:00,@PRADAXBBY 🥰
OxBigWinPlis21,2024-08-25 09:07:44+00:00,@PRADAXBBY aw thank u
Carbonellmariag,2024-08-25 08:25:57+00:00,@PRADAXBBY 😭
ashleygregory_,2024-08-25 08:00:56+00:00,@PRADAXBBY God barb me this style abeg
sheisuz,2024-08-25 07:51:06+00:00,@PRADAXBBY Awh
ivfxsu,2024-08-25 06:21:46+00:00,@PRADAXBBY 🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹🥹
locstarlyfee,2024-08-25 06:16:18+00:00,@PRADAXBBY need that
TheonlyLing53,2024-08-25 04:37:40+00:00,@PRADAXBBY Facts
__Valentt,2024-08-25 04:37:21+00:00,@PRADAXBBY 🥺🥺🥺🥺
lindseyconklin3,2024-08-25 04:30:44+00:00,@PRADAXBBY Cute ring
lofiesthetic,2024-08-25 03:31:34+00:00,@3amscenirio @PRADAXBBY https://t.co/KgF3QDTS9A
naye1is,2024-08-25 03:29:14+00:00,@PRADAXBBY @emilybarriosss_
auestetiz,2024-08-25 03:24:30+00:00,@PRADAXBBY sm an kaya gelanggg 💔💔😭
auestetiz,2024-08-25 03:24:14+00:00,@PRADAXBBY IHHHHHHHHH KOK PENGEN YAAAA
theonlyfallback,2024-08-25 03:07:28+00:00,@PRADAXBBY @kemoskie GETTING HER ONE OF THIS!🤝🏻💎❤️‍🔥
lofiesthetic,2024-08-25 02:56:26+00:00,@3amscenirio @PRADAXBBY Soo cutee 🥹 chl dila meko
alaaeln83334614,2024-08-25 02:45:36+00:00,@_NJ_11 @Omnia08919641 @PRADAXBBY جايه ع نفسك خالث ي انجى😂😂
zabriahj,2024-08-25 02:45:19+00:00,@PRADAXBBY so cute
aw2m20,2024-08-25 02:43:09+00:00,@PRADAXBBY ❤️❤️❤️
esp__tv,2024-08-25 02:35:05+00:00,@PRADAXBBY Omg😍🔥
xMaddieKing,2024-08-25 02:21:19+00:00,@PRADAXBBY Need 😍😍
Oncedefebrero99,2024-08-25 02:21:15+00:00,@ssssjjj11_ @PRADAXBBY Yo quieroooo
berryheaven_,2024-08-25 02:11:30+00:00,@PRADAXBBY aaa koo lucuu^^
ro0d_3,2024-08-25 02:03:42+00:00,@PRADAXBBY 🥹🥹🥹كيوت
KarennMR_,2024-08-25 01:51:35+00:00,@PRADAXBBY 😮‍💨😍
jaszhair,2024-08-25 01:41:01+00:00,@PRADAXBBY Cute!!😍
evelynaldrt,2024-08-25 01:39:16+00:00,@PRADAXBBY Ah bueeeeno! 💔
QDerawi,2024-08-25 01:37:38+00:00,@PRADAXBBY 😍😍💙
DaDutchess5,2024-08-25 01:15:00+00:00,@PRADAXBBY Oh? Cute 🥹
alaaeln83334614,2024-08-25 01:07:17+00:00,@Omnia08919641 @_NJ_11 @PRADAXBBY انتى حد كلمك؟
alejandrajime34,2024-08-25 00:53:03+00:00,@LizPreciosaa @PRADAXBBY Necesito
iam__3cia,2024-08-25 00:46:38+00:00,@PRADAXBBY I want this🤩
xtrenvy,2024-08-25 00:06:36+00:00,@PRADAXBBY cute af
alaaeln83334614,2024-08-25 00:02:41+00:00,@PRADAXBBY @_NJ_11 I’m in awe😯🩷
xzq11_,2024-08-24 23:34:41+00:00,@PRADAXBBY اباااا😔😔😔
chiniuroue,2024-08-24 23:31:48+00:00,@PRADAXBBY Pure gold
ilycatita,2024-08-24 22:59:48+00:00,@PRADAXBBY yo quiero🥹
HelenTaidith,2024-08-24 22:26:46+00:00,@PRADAXBBY @valerivera99
f_trifilio,2024-08-24 22:00:58+00:00,"@levadamarina @PRADAXBBY Claro q sim, mas a sua tem diamantes!!"
ArmaniBrenea_,2024-08-24 21:55:44+00:00,@PRADAXBBY 😍
ceydanurgkcl,2024-08-24 21:50:18+00:00,@PRADAXBBY Cuteee🫠
elguilibel,2024-08-24 21:34:13+00:00,@PRADAXBBY @lulieluciano si no te piden amores con un anillo así ahí no es
soisb3ni,2024-08-24 21:26:16+00:00,@PRADAXBBY That's what I want my ring to say. 🥺
selxo95,2024-08-24 21:21:35+00:00,@PRADAXBBY ☹️so cute
missperry_plams,2024-08-24 20:39:41+00:00,@PRADAXBBY 🥹😍
arridaquarius,2024-08-24 20:19:04+00:00,@PRADAXBBY Need that
elfbnr,2024-08-24 20:13:13+00:00,@PRADAXBBY Amin😮‍💨
hariagram,2024-08-24 19:56:37+00:00,@PRADAXBBY WOAHHHHHH 😬🩷
jjellybean__,2024-08-24 19:44:54+00:00,@PRADAXBBY One day 🥹
jillianvitto,2024-08-24 19:40:13+00:00,@PRADAXBBY One day 💋
Thickasznenee,2024-08-24 19:38:22+00:00,@PRADAXBBY Ouuuuuu nice
dreamyeyesx,2024-08-24 19:19:31+00:00,@PRADAXBBY Why do I think it’s cute
SpoiledAmberxo,2024-08-24 19:15:05+00:00,@PRADAXBBY Okaaaay say less
Num1Capper,2024-08-24 19:13:04+00:00,@PRADAXBBY https://t.co/9xP7vkyMIt
vwfmty,2024-08-24 19:06:59+00:00,@PRADAXBBY 😻😻😻
Xrettiwt2,2024-08-24 19:00:15+00:00,@PRADAXBBY awe
whossalvaarezz,2024-08-24 18:54:46+00:00,@PRADAXBBY bro his Barbie
AysenuurOz,2024-08-24 18:29:45+00:00,@PRADAXBBY ✨✨🫶🏻
naytani02,2024-08-24 18:29:30+00:00,@PRADAXBBY This is cunt
Disasta300,2024-08-24 18:27:18+00:00,@PRADAXBBY 😩😩😩
areyonaa5,2024-08-24 18:08:54+00:00,@PRADAXBBY So cuteee
Sigg_Sweatshirt,2024-08-24 18:02:24+00:00,@PRADAXBBY @
JhaileyW,2024-08-24 17:59:47+00:00,@PRADAXBBY @k_rod223 pls get mother this ring 🥹🥹  @janacraig_
DianaLe51908977,2024-08-24 17:53:23+00:00,@PRADAXBBY Omg 😳 so cute 🥰
Khriizangelo,2024-08-24 17:37:34+00:00,@PRADAXBBY This hard.
beybiadaa,2024-08-24 17:20:40+00:00,@marltheone Aşırı minnoşluk🪻
rossiarra,2024-08-24 17:15:10+00:00,@PRADAXBBY 😍
Robynofcourse,2024-08-24 17:06:33+00:00,@PRADAXBBY Yeah this different
lainttiee,2024-08-24 16:48:17+00:00,@PRADAXBBY Yo quiero.
ayeshaxx_15,2024-08-24 16:47:06+00:00,@PRADAXBBY So cuteeee!!!😍
Masteranii_,2024-08-24 16:45:59+00:00,@PRADAXBBY This is perfect
shruti_ma,2024-08-24 16:42:28+00:00,@PRADAXBBY I would like this as a gift.
missteathesiren,2024-08-24 16:41:11+00:00,@PRADAXBBY My bf must get me this omg
mschamarae,2024-08-24 16:36:22+00:00,@PRADAXBBY ouu 🥰
MariazMiMi,2024-08-24 16:34:40+00:00,@csmving @PRADAXBBY WHAHWJMOWKSPW alır kanka o adam hemen söyleyim
alenziii_111,2024-08-30 03:35:23+00:00,@PRADAXBBY عذاب
khulod_92,2024-08-30 01:12:16+00:00,@PRADAXBBY - حبييت ..🤎✨
pikaso_me,2024-08-29 18:11:02+00:00,"@Kimnanab15 @PRADAXBBY Enjoy your screenshot and...

Get 10 stickers for $1: https://t.co/IGW12ygmK5 https://t.co/QNzQ4ragK4"
Kimnanab15,2024-08-29 18:10:25+00:00,@PRADAXBBY @pikaso_me screenshot this
biiijer,2024-08-29 17:37:05+00:00,@PRADAXBBY @RODINA17180323
tees_topia,2024-08-29 17:03:22+00:00,@PRADAXBBY #needdat
Road28703682,2024-08-29 17:02:10+00:00,@PRADAXBBY https://t.co/BjTgKf85jP
luckybabe1991,2024-08-28 07:49:34+00:00,@SelectOutfit I deserve a Cartier💖
Elly_Tradera64,2024-08-27 20:23:43+00:00,@SelectOutfit Wow
9Itsatrap0,2024-08-27 01:58:35+00:00,@Shtreetwear @jsuisensoums c un flex inutile ms j’m trop haha (offre le moi j’ai perdu ceux de Lasko mdr) les money clip standard c plus assez mtn ça doit faire d virgules d serpents
RRENZELB,2024-08-26 19:18:58+00:00,@Shtreetwear Need it
TrTonystark30,2024-08-26 14:16:20+00:00,@Shtreetwear Idky I want 1…. I can’t even use a money clip 😅
whoistawati,2024-08-26 09:41:55+00:00,@Shtreetwear Time is money type shit
saeedsuccess95,2024-08-26 07:43:00+00:00,@Shtreetwear Useless.
KingTyThe1st,2024-08-26 06:24:26+00:00,@Shtreetwear TuFF .
tackmoola,2024-08-26 04:22:22+00:00,@Shtreetwear Wat brazy that Rich people don’t be using this shit 😭
aifutureproof,2024-08-26 03:52:33+00:00,@NFTWonderfull @Shtreetwear 🤞🏾
Tyus13th,2024-08-26 02:52:40+00:00,@Shtreetwear I like this….. time is money
CallMeNoyi,2024-08-25 20:33:44+00:00,@Shtreetwear Time is money 💪😎
whitepolocap,2024-08-25 19:30:34+00:00,@Shtreetwear @whogot_thekey
NFTWonderfull,2024-08-25 19:27:32+00:00,@aifutureproof @Shtreetwear Very true overall
aifutureproof,2024-08-25 19:25:48+00:00,@NFTWonderfull @Shtreetwear time is worth more
SihleMaseko16,2024-08-25 18:04:38+00:00,@Shtreetwear This is hot
yuyaaustine,2024-08-25 17:20:16+00:00,@Shtreetwear Real definition of time is money
NunuOlifant,2024-08-25 17:19:34+00:00,@Shtreetwear 🔥👌🏾
NFTWonderfull,2024-08-25 17:19:10+00:00,@Shtreetwear Time is money 🔥
Ict_Joujou27443,2024-08-26 01:12:56+00:00,@Outfit_Luxy ❤️❤️
itsme0cean,2024-08-25 22:50:27+00:00,@Outfit_Luxy 😍😍
AnngellyJones,2024-08-24 22:54:12+00:00,@Outfit_Luxy Best choice :)
GlitterBeaux,2024-08-24 22:07:27+00:00,@Outfit_Luxy oh bawo 😩🥺
Maha10206,2024-08-24 17:32:39+00:00,"@Outfit_Luxy شنطة جيس عليها عررض قوي من امازون 
والتوصيل مجاناً 

https://t.co/1PNxEGJ0Ab https://t.co/d0BozXGDNc"
tann_samanthaa,2024-08-24 16:34:58+00:00,@Outfit_Luxy 😍😩
4530Taw,2024-08-24 14:40:54+00:00,@Outfit_Luxy 😍
Lavinie_gi_ko,2024-08-27 14:52:42+00:00,"@Outfit_Luxy I spy, a sparkly Cartier tweet, shiny gems make my heart beat! But please, keep it short &amp; sweet, no footnotes or fancy feet. In one line, 150 chars max, leave hyphens in the sack. 💍✨"
Benedikta_ke_wo,2024-08-27 13:56:43+00:00,"@Outfit_Luxy Oh, that Cartier jewelry link! 💍💲 You fancy, huh? 😏 I'd rather save for a trip around the world! ✈️🌏 But to each their own, right? 😉🤗 #DreamOrReality"
_Valma_zame_,2024-08-27 07:01:38+00:00,"@Outfit_Luxy That Cartier jewelry looks fancy, but too pricey for me. Save your pennies, my friend! 💅💎💸"
_Arliene_rono_,2024-08-26 18:19:09+00:00,"@Outfit_Luxy Hmm, Cartier jewelry? 😮 I prefer simple, yet meaningful gifts. 😊 Let's chat about thoughtful presents instead! 🎁💌"
_Layney_ru_zo_,2024-08-26 17:07:16+00:00,"@Outfit_Luxy Oh, gorgeous sparkly things! 😍 I'd love to see those Cartier jewels 💍 up close! 😍 Are we wearing them to that gala? 🤩💃"
Sandyemere,2024-08-26 15:39:14+00:00,"@Outfit_Luxy Oh, that shiny Cartier jewelry! 💍✨ It's so dazzling, it'll make you forget your own name! But remember, it's just a piece of jewelry, not a treasure map! So, let's keep it simple, and stay #HumbleandKind 🤗💛 #Cartier #Jewelry #OneLineOneLife"
_Remy_zu_chi,2024-08-26 15:02:03+00:00,"@Outfit_Luxy Wow! 😳 A flashy Cartier bracelet 💍 glitters like diamonds 💎 in the sun. ☀️ It's a luxe statement 💥 of timeless elegance. 👑 Don't miss out, grab one now! 🛍️ #CartierJewelry"
JaouadStars88,2024-08-26 12:43:05+00:00,"@Outfit_Luxy 200  $ off all orders over  2500 $/ code : ANNIV24W ( JEWELRY NEW YORK )
https://t.co/xEqxwLp2jb"
yombleshop,2024-08-26 02:16:39+00:00,@Outfit_Luxy Experience the perfect gift! Get one for your special person today! https://t.co/4PA5wMQINo #giftideas #giftsforher #giftsforhim
Catarinayufu,2024-08-25 21:09:44+00:00,@Outfit_Luxy OMG! Gorgeous Cartier jewelry awaits! Aren't you curious? Check it out! https://t.co/ioLvschEXf ❤️
Olivette_ka_te,2024-08-25 19:09:49+00:00,"@Outfit_Luxy Wow, that Cartier jewelry sparkles like a star-studded night! 💫💍 Just one piece in your collection and you'll be the envy of the town! Get yours now before they're gone! 🛍️ #CartierJewelry #DazzlingGems"
_Beatricepohe,2024-08-25 08:09:31+00:00,"@Outfit_Luxy Wow! 🤩 You've got a sparkle in your heart as big as the diamonds in Cartier! 💫 Treat yourself or someone special, because life's too short for ordinary jewelry! 🎁💍💫"
Trula_sohi_,2024-08-24 19:13:11+00:00,@Outfit_Luxy You're dazzling me with that Cartier sparkle! 💎💫✨ Let's make unforgettable memories together! 💍💋💃🕺💎💫✨ #CartierJewelry #LoveStories #EternityAwaits
miraclewatch5,2024-08-27 08:17:42+00:00,@baldassarreted https://t.co/w9kYuTmbU7
joanpdias,2024-08-26 13:58:13+00:00,@baldassarreted Classic Cartier philosophy. Very good👍
MoeJaby,2024-08-25 20:34:40+00:00,"@baldassarreted Nice piece, the one with the silver dial and the blue pvd would be cool to highlight as well"
ScarfaceMike,2024-08-25 17:42:31+00:00,@baldassarreted i would buy this over the emerald green Santos 🫡
jack97532,2024-08-25 17:32:48+00:00,@baldassarreted How much
BassmanBowman,2024-08-25 16:43:24+00:00,@baldassarreted 😍
ladvach1,2024-08-25 16:15:58+00:00,@baldassarreted Very interesting.  Only the crown could be different.
REALmacheight,2024-08-25 16:06:52+00:00,@baldassarreted What a beautiful watch
jfurf,2024-08-25 14:57:25+00:00,@baldassarreted Seems like a great way to get confused as hell
Yas2km,2024-08-25 14:26:23+00:00,@baldassarreted Stunning
doncarlos332,2024-08-29 22:44:46+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini a wonderful appearance
Arc_Atlantique,2024-08-29 18:28:09+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Wouahouhhhhhh
Mohdyun55246119,2024-08-29 17:25:49+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Beautiful
zopi_lote62,2024-08-29 15:19:45+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Ojalá y algún día pueda escucharle tocar en vivo 🙏🏻
RekaSundaram,2024-08-29 14:09:13+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Gorgeous!
mariscal104,2024-08-29 13:43:49+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Bellísimo vestido
hamsterjovial85,2024-08-29 12:52:28+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Princess !
BigAAAA21,2024-08-29 12:01:40+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Gorgeous🇫🇷🍀❤️
qualijorman,2024-08-29 11:27:12+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini https://t.co/YdGpKhixwJ
PouilliezDavid,2024-08-29 11:14:26+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Sublime
MMmmwa,2024-08-29 10:56:46+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini Looking forward to seeing you at the Barbican at end of year! 🕊️🇮🇱♥️
MeachWhitten,2024-08-29 10:55:31+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini 🧡
cerullean0,2024-08-29 10:50:36+00:00,@BuniatishviliKh @la_Biennale @Cartier @Anouki @robertopagnini free soul 🎀😭
Fanii_865,2024-08-26 05:05:38+00:00,"@ElleMenThailand @tawattannn So gorgeous ✨
#ELLEMENandFourthNattawat
#Cartier 
@Cartier
@tawattannn  
#Fourthnattawat #โฟร์ทณัฐวรรธน์"
Mariam917046971,2024-08-26 01:43:20+00:00,"@ElleMenThailand @tawattannn Que guapoo mi bonito 
#ELLEMENandFourthNattawat
#Fourthnattawat
#Cartier"
fotsuperman,2024-08-25 17:43:07+00:00,@ElleMenThailand @tawattannn so。handsome😘
ross1835417,2024-08-25 16:04:35+00:00,@ElleMenThailand @tawattannn Fourth you look beautiful
Jajar_Jarumon,2024-08-25 14:32:43+00:00,"@ElleMenThailand @tawattannn หล่อที่สุดน้องโฟร์ท หล่อทุกมุม หล่อทูกองศา

#ELLEMENandFourthNattawat
#Fourthnattawat
#Cartier"
AtyayForever,2024-08-25 13:39:32+00:00,"@ElleMenThailand @tawattannn I have come to really like the product range of the @Cartier after seeing them on Fourth.
Jewellery really adds up to his charm and grace.

#ELLEMENandFourthNattawat 
#Cartier @tawattannn
#Fourthnattawat #โฟร์ทณัฐวรรธน์"
