brand,ENFJ,ENFP,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
Cartier,0,4,1,0,0,1,0,24,110,12,22,8,47,5,11
Chanel,0,0,0,0,0,0,0,68,93,5,9,11,23,1,4
Dior,0,5,0,1,16,0,1,24,54,3,1,40,52,6,42
Gucci,0,0,1,0,0,0,0,17,110,0,23,23,59,1,36
Louis Vuitton,1,3,0,0,0,0,1,8,72,2,22,15,119,0,9
Prada,0,0,0,1,1,0,0,38,79,1,7,12,88,2,28
Ralph Lauren,0,0,0,0,1,0,0,14,46,0,5,9,121,0,5
Rolex,0,0,1,1,1,0,0,20,72,2,11,14,90,3,21
Tiffany,0,1,0,0,1,0,0,12,79,4,3,7,80,3,13
Versace,0,3,0,0,0,0,0,15,104,3,5,43,20,4,16
