brand,username,created_at,text,MBTI
Chanel,honeypeach13964,2024-08-31 04:16:25+00:00,@NewJeans_ADOR @CHANEL 好看,INTP
Chanel,stan_nofandom,2024-08-31 03:49:56+00:00,@NewJeans_ADOR @CHANEL Perfect face😍,INTJ
Chanel,AntonioDieho,2024-08-31 02:25:10+00:00,@NewJeans_ADOR @CHANEL Minji te amooooo,INFP
Chanel,TSYNWJ3,2024-08-30 17:57:51+00:00,@NewJeans_ADOR @CHANEL the denim short is so chic it suits her💙,INTJ
Chanel,saltestocean,2024-08-30 13:12:47+00:00,@gelatlo @NewJeans_ADOR @CHANEL ☹️☹️☹️☹️☹️☹️,INTP
Chanel,auwiuwiuwle,2024-08-30 08:56:12+00:00,@NewJeans_ADOR @CHANEL dia cantik banget demi,INTP
Chanel,ebystud,2024-08-30 06:28:19+00:00,@NewJeans_ADOR @CHANEL 💙,INTP
Chanel,AyushChatu2001,2024-08-29 21:34:40+00:00,@NewJeans_ADOR @CHANEL 彼女は匂いを嗅いでいる。花,INTP
Chanel,quoifz,2024-08-29 17:45:42+00:00,@NewJeans_ADOR @CHANEL Beautiful 💖💖💖,INFP
Chanel,snabilans,2024-08-29 16:41:33+00:00,@NewJeans_ADOR @CHANEL MBA CANTIK SEKALIII😭🧚‍♀️🩷,INTP
Chanel,gib_tater,2024-08-29 13:59:15+00:00,@NewJeans_ADOR @CHANEL Éxitos bebé 💖,INTP
Chanel,gib_tater,2024-08-29 13:54:02+00:00,@NewJeans_ADOR @CHANEL Hermosota 💝,INTP
Chanel,FlannaganD67069,2024-08-29 11:06:52+00:00,@NewJeans_ADOR @CHANEL How is everything?,INTP
Chanel,DA_MAE_WACK,2024-08-29 10:42:51+00:00,@NewJeans_ADOR @CHANEL カワイイし日本語どんどん上手になってて귀여워！,INTP
Chanel,fEbnJu5vDqL76Di,2024-08-29 10:13:39+00:00,@NewJeans_ADOR @CHANEL https://t.co/IppLz65hSx,INTP
Chanel,idekbro12251238,2024-08-29 07:32:03+00:00,@NewJeans_ADOR @CHANEL pls d iiiiiie,INTP
Chanel,idekbro12251238,2024-08-29 07:31:57+00:00,@NewJeans_ADOR @CHANEL bitch,INFP
Chanel,idekbro12251238,2024-08-29 07:31:55+00:00,@NewJeans_ADOR @CHANEL pedo ass licker,INTP
Chanel,jiwonoon,2024-08-29 07:28:11+00:00,@NewJeans_ADOR @CHANEL TE AMO,INFP
Chanel,luiza_galli,2024-08-29 04:47:14+00:00,@NewJeans_ADOR @CHANEL Minji is so pretty,ISTP
Chanel,11hanjk,2024-08-29 04:08:43+00:00,@NewJeans_ADOR @CHANEL يازينك تهبلين🥹🤍 https://t.co/kMAqhMtDQL,INTP
Chanel,taucrush7,2024-08-29 03:59:00+00:00,@NewJeans_ADOR @CHANEL https://t.co/jd1VdWI9Ot,INTP
Chanel,Kathy507515,2024-08-29 03:39:36+00:00,@NewJeans_ADOR @CHANEL STUNNING VISUAL🫢,INTJ
Chanel,ARcrazyworld1,2024-08-29 02:53:40+00:00,@hezy0_0 @NewJeans_ADOR @CHANEL Gae 😭🤌🏻,INTP
Chanel,DDiup_,2024-08-29 02:16:51+00:00,@NewJeans_ADOR @CHANEL 민지가 나랑 데이트하고 싶다고 했어요.,INTP
Chanel,jinii0808,2024-08-29 02:07:09+00:00,@NewJeans_ADOR @CHANEL So good~~💕💕,INFP
Chanel,AlanRobins98069,2024-08-29 01:58:35+00:00,@NewJeans_ADOR @CHANEL If you''re interested and if you''re still|,INTJ
Chanel,JagadSuper10,2024-08-29 01:56:13+00:00,@NewJeans_ADOR @CHANEL minji's so pretty 😍,ISTP
Chanel,dwi_astini59331,2024-08-29 01:40:25+00:00,@NewJeans_ADOR @CHANEL hellooo,INTP
Chanel,Phaiwan7,2024-08-29 01:36:32+00:00,@NewJeans_ADOR @CHANEL 🤍💐🩵,INTP
Chanel,fraser_mig18763,2024-08-29 01:28:17+00:00,@NewJeans_ADOR @CHANEL Nice to meet you again!,INFJ
Chanel,TungManh7820,2024-08-29 01:01:30+00:00,"@NewJeans_ADOR @CHANEL Deserts store carbon, regulate climate, and support unique plant and animal adaptations, contributing to global biodiversity.",INTJ
Chanel,trudy_chan82950,2024-08-29 00:40:16+00:00,@NewJeans_ADOR @CHANEL How’s it going?,INFP
Chanel,ConnellLev40122,2024-08-29 00:20:08+00:00,"@NewJeans_ADOR @CHANEL #샤넬패션 @CHANEL
#NewJeans #광고 #광고",INTP
Chanel,BemoLindse32017,2024-08-29 00:10:23+00:00,@NewJeans_ADOR @CHANEL https://t.co/PSBSvXh7rn #샤넬패션 #뉴진스 #MINJI https://t.co/PSBSvXh7rn,INTP
Chanel,rios_jeane26003,2024-08-29 00:01:11+00:00,@NewJeans_ADOR @CHANEL How’s it going?,INFP
Chanel,ifhatethisapp,2024-08-28 23:04:54+00:00,@NewJeans_ADOR @CHANEL PLS KIM MINJI JUST ONE CHANCE 😭🙏🏾,INTP
Chanel,delia_tina13815,2024-08-28 22:45:22+00:00,@NewJeans_ADOR @CHANEL How’s it going?,INFP
Chanel,ClydeDowma9414,2024-08-28 22:11:37+00:00,@NewJeans_ADOR @CHANEL What have you been up to?,INTP
Chanel,KEisiminge82742,2024-08-28 21:45:08+00:00,"@NewJeans_ADOR @CHANEL #샤넬패션 @CHANEL
#NewJeans #민지 https://t.co/ONCxTQ6y0m",INTP
Chanel,schultz_le9374,2024-08-28 21:35:55+00:00,@NewJeans_ADOR @CHANEL Good afternoon!,INTJ
Chanel,ThoiThi4922,2024-08-28 21:04:26+00:00,@NewJeans_ADOR @CHANEL Avid twitteraholic. Zombie buff. Web advocate. Infuriatingly humble entrepreneur.,INTP
Chanel,VincentSco5690,2024-08-28 21:02:21+00:00,"@NewJeans_ADOR @CHANEL The country''s warm climate and tropical landscapes make it an ideal destination for outdoor adventures like snorkeling, hiking, and elephant trekking.",INFP
Chanel,meustetekoo,2024-08-28 20:48:56+00:00,@NewJeans_ADOR @CHANEL te amo tanto,INFP
Chanel,canh_tai6580,2024-08-28 19:58:04+00:00,@NewJeans_ADOR @CHANEL The intricate dance of a flock of starlings as they wheel and dive through the sky in perfect synchrony is a,INFP
Chanel,sccpdaloh,2024-08-28 19:52:34+00:00,@NewJeans_ADOR @CHANEL MINHA,INTP
Chanel,ga3456130,2024-08-28 19:33:56+00:00,@NewJeans_ADOR @CHANEL P,INTP
Chanel,NJ_loverfrfr123,2024-08-28 19:14:56+00:00,@NewJeans_ADOR @CHANEL This is so gay of her people are gonna go crazy over this,INFJ
Chanel,hyeinamor,2024-08-28 18:50:14+00:00,@NewJeans_ADOR @newjeans_loop @CHANEL mi minji hermosa ❤️,INTP
Chanel,ourvoice_1213,2024-08-28 18:48:24+00:00,@NewJeans_ADOR @CHANEL ❤️,INTP
Chanel,thi_tinh9287,2024-08-28 18:41:55+00:00,@NewJeans_ADOR @CHANEL I regret not taking that opportunity when it was presented to me.,INTJ
Chanel,GCaitlin32166,2024-08-28 18:23:42+00:00,@NewJeans_ADOR @CHANEL #뉴진스 #민지 #광고 #광고,INTP
Chanel,ThanhKho7060,2024-08-28 18:16:21+00:00,@NewJeans_ADOR @CHANEL There is something deeply calming about watching tmpacts of climate change.,INFJ
Chanel,LenitaSchl31492,2024-08-28 18:15:48+00:00,"@NewJeans_ADOR @CHANEL #광고 #샤넬패션 @CHANEL
#NewJeans #뉴진스 #MINJI",INTP
