brand,username,created_at,text,cleaned_text,MBTI
Chanel,honeypeach13964,2024-08-31 04:16:25+00:00,@NewJeans_ADOR @CHANEL 好看,newjeans_ador chanel good looking,INTJ
Chanel,stan_nofandom,2024-08-31 03:49:56+00:00,@NewJeans_ADOR @CHANEL Perfect face😍,newjeans_ador chanel perfect face,INFJ
Chanel,AntonioDieho,2024-08-31 02:25:10+00:00,@NewJeans_ADOR @CHANEL Minji te amooooo,newjeans_ador chanel minji love,INFP
Chanel,TSYNWJ3,2024-08-30 17:57:51+00:00,@NewJeans_ADOR @CHANEL the denim short is so chic it suits her💙,newjeans_ador chanel denim short chic suit,INTJ
Chanel,saltestocean,2024-08-30 13:12:47+00:00,@gelatlo @NewJeans_ADOR @CHANEL ☹️☹️☹️☹️☹️☹️,gelatlo newjeans_ador chanel,INTP
Chanel,auwiuwiuwle,2024-08-30 08:56:12+00:00,@NewJeans_ADOR @CHANEL dia cantik banget demi,newjeans_ador chanel beautiful demi,INTJ
Chanel,ebystud,2024-08-30 06:28:19+00:00,@NewJeans_ADOR @CHANEL 💙,newjeans_ador chanel,INTP
Chanel,AyushChatu2001,2024-08-29 21:34:40+00:00,@NewJeans_ADOR @CHANEL 彼女は匂いを嗅いでいる。花,newjeans_ador chanel She smelling flower,INFP
Chanel,quoifz,2024-08-29 17:45:42+00:00,@NewJeans_ADOR @CHANEL Beautiful 💖💖💖,newjeans_ador chanel beautiful,INTJ
Chanel,snabilans,2024-08-29 16:41:33+00:00,@NewJeans_ADOR @CHANEL MBA CANTIK SEKALIII😭🧚‍♀️🩷,newjeans_ador chanel si beautiful,INFJ
Chanel,gib_tater,2024-08-29 13:59:15+00:00,@NewJeans_ADOR @CHANEL Éxitos bebé 💖,newjeans_ador chanel success baby,INTJ
Chanel,gib_tater,2024-08-29 13:54:02+00:00,@NewJeans_ADOR @CHANEL Hermosota 💝,newjeans_ador chanel beautiful,INTJ
Chanel,FlannaganD67069,2024-08-29 11:06:52+00:00,@NewJeans_ADOR @CHANEL How is everything?,newjeans_ador chanel everything,INTP
